Date,Adj Close
7/1/15,13.675197
8/1/15,13.123407
9/1/15,12.672778
10/1/15,13.509659
11/1/15,13.914307
12/1/15,12.967067
1/1/16,12.130746
2/1/16,12.325804
3/1/16,13.226785
4/1/16,13.6169
5/1/16,13.691209
6/1/16,13.6169
7/1/16,14.350691
8/1/16,14.77796
9/1/16,14.973019
10/1/16,14.555037
11/1/16,16.774981
12/1/16,17.46233
1/1/17,17.318693
2/1/17,17.271837
3/1/17,17.131264
4/1/17,17.309322
5/1/17,16.493994
6/1/17,17.000059
7/1/17,17.000059
8/1/17,16.512737
9/1/17,18.05905
10/1/17,18.377684
11/1/17,18.883749
12/1/17,17.487383
1/1/18,18.950001
2/1/18,18.01
3/1/18,18.379999
4/1/18,18.629999
5/1/18,19.67
6/1/18,19.83